CUSID,DEPOSIT INCOME,LOAN INCOME,TOTAL_PRODUCT_COUNT,DEPOSIT_PRODUCT_COUNT,LOAN_PRODUCT_COUNT,DEPOSIT_BALANCE,COUNT_TRANSACTION_CURRENT,AMOUNT_TRANSACTION_CURRENT,MONTHS_REMAIN_MIN,MONTHS_REMAIN_MAX,COUNT_LOANTRANS_CURRENT,AMOUNT_LOANTRANS_CURRENT,AGE_MONTHS,TENURE_MONTHS,MONTHS_LAST_ACTIVE,CNT_LN_TOTFSI,LOAN_BALANCE,AGE_MONTHS,TENURE_MONTHS,LOAN_AMOUNT
917041,0,8.484999,1,0,1,,1,33.079199,9,9,1,8.484999,696,88,,3,541.0724,,88,614.8564064
917042,0,7.37826,1,0,1,,1,31.97246,9,9,1,7.37826,461,88,,4,467.2898,,88,541.0736377
917043,0,7.8209556,1,0,1,,1,529.2179956,13,13,1,529.2179956,700,83,,8,368.913,,83,368.9138439
917044,0,430.74826,5,2,3,9.08,2,867.97246,9,59,3,842.74826,527,62,,5,19823.2898,,62,22941.07364
917045,0,3.320217,1,0,1,,1,27.914417,9,9,1,3.320217,888,88,,4,196.7536,,88,245.9425626
917046,0,5.7304486,1,0,1,,1,47.5405886,4,4,1,5.7304486,604,88,,,339.39996,,88,614.8564064
917047,0,6.640434,1,0,1,,1,31.234634,4,4,1,6.640434,648,88,,,418.1014,,88,614.8564064
917048,0,6.640434,5,2,3,724.49,2,674.234634,4,60,1,6.640434,700,88,,6,17418.1014,,88,15614.85641
917049,0,6.271521,1,0,1,,1,30.865721,4,4,1,6.271521,652,88,,,393.5072,,88,614.8564064
917050,0,6.640434,1,0,1,,1,31.234634,4,4,1,6.640434,665,88,,,418.1014,,88,614.8564064
917051,0,37.69,2,1,1,2.8591884,2,333.69,9,9,5,334.69,550,43,,,2654,550,43,8000
917052,0,0,1,1,0,74.028542,,,,,,,613,84,9,,,613,84,
917053,0,0,1,1,0,,,,,,,,481,87,8,,,481,87,
917054,0,6.640434,2,1,1,4.91884,1,31.234634,4,4,1,6.640434,689,88,,,418.1014,,88,614.8564064
917055,0,2.951304,1,0,1,,1,27.545504,4,4,1,2.951304,716,88,,,172.1594,,88,368.9138439
917056,0,0.5902608,1,0,1,,1,12.8873608,4,4,1,0.5902608,773,88,,,27.05362,,88,122.9712813
917057,0,66.82565,3,1,2,2.97,2,243.31115,18,29,2,243.31115,723,19,,3,4421.739,723,19,4775.655375
917058,0,80.4968166,3,1,2,,2,189.2031806,4,53,2,164.6089806,560,49,,3,4871.127252,,49,5656.678939
917059,0,6.640434,1,0,1,,1,31.234634,9,9,1,6.640434,664,88,,3,418.1014,,88,491.8851251
917060,0,45.144999,6,4,2,3362.54,4,491.079199,9,23,2,167.144999,730,89,,1,3323.0724,,89,5714.856406
917061,0,101.84,3,2,1,12.44,1,236,46,46,1,235.84,565,88,,,6124,565,88,8000
917062,0,8.484999,1,0,1,,1,33.079199,9,9,1,8.484999,772,76,,1,541.0724,,76,614.8564064
917063,0,6.640434,2,1,1,0.5164782,1,31.234634,9,9,1,6.640434,861,96,,1,418.1014,,96,491.8851251
917064,0,54.5499356,3,1,2,0.2213478,1,177.816066,24,30,2,177.7176892,733,41,,4,3278.013353,733,41,4426.966126
917065,0,3.68913,1,0,1,,1,3.68913,10,10,1,3.68913,786,83,,2,245.942,,83,245.9425626
917066,0,5.533695,1,0,1,,1,5.533695,10,10,1,5.533695,686,81,,1,368.913,,81,368.9138439
917067,0,8.116086,1,0,1,,1,8.116086,10,10,1,8.116086,681,81,,1,541.0724,,81,541.0736377
917068,0,9.222825,2,1,1,,1,9.222825,10,10,1,9.222825,727,76,,4,614.855,,76,614.8564064
917069,0,0,1,1,0,2.951304,,,,,,,576,87,5,,,576,87,
917070,0,10.0344336,3,1,2,8.853912,1,53.984269,15,15,1,51.032965,452,87,,4,614.8304058,,87,737.8276877
917071,0,41.58,2,1,1,40.14,1,200,21,21,1,196.58,795,81,,,3245,795,81,6500
917072,0,82.882454,3,2,1,4.69,1,232.661132,45,45,2,232.661132,553,73,,2,6625.923422,553,73,4426.966126
917073,0,119.163912,3,1,2,5.72,2,378.448112,9,39,4,353.163912,651,87,,4,9651.6666,,87,14614.85641
917074,0,8.853912,2,1,1,,1,33.448112,9,9,1,8.853912,819,97,,2,565.6666,,97,614.8564064
917075,0,17.17,4,3,1,83.45,3,145,9,9,1,129.17,673,87,,,976,673,87,4000
917076,0,0,1,1,0,9.20314964,,,,,,,829,92,,,,829,92,
917077,0,8.116086,2,1,1,4.91884,1,57.304486,4,4,1,8.116086,851,86,,,491.884,,86,491.8851251
917078,0,7.272391,4,1,3,2.1705216,3,505.120051,,,2,514.810051,613,79,,,,,79,
917079,0,223.3552598,4,2,2,6.8,2,566.21594,9,50,5,557.3552598,567,99,,1,17256.26178,,99,20614.85641
917080,0,163.2744442,3,2,1,8.393768,2,1290.786124,5,12,2,1289.996124,616,87,,1,10008.6084,616,87,20017.22828
917081,0,0,1,0,1,,,,12,12,,,698,86,1,3,368.913,,86,368.9138439
917082,0,89.6856626,3,1,2,5.5183768,2,243.8283502,31,48,2,243.0083502,547,86,,4,6197.806562,547,86,4459.425626
917083,0,0,1,0,1,,,,12,12,,,746,86,1,1,614.855,,86,614.8564064
917084,0,0,2,1,1,0.33,,,,,,,863,86,3,,,863,86,
917085,0,0,2,2,0,2.874535542,,,,,,,712,74,3,,,712,74,
